#Steps ,and Temp, are followed by (rej, acc) for each MC Move.
#(nStep, T) TRANS CLSTER SM_CLSTER FACE LOCAL DBPVT PIVOT BR_ROT
0	1000.00	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3500001	1.00	317011	462086	704421	73154	740857	36273	388969	548	150576	236710	0	0	0	0	0	0	292294	97102	0	0	0	0	
6000001	1.00	133676	421335	517317	37883	553006	1909	277862	229	138631	139448	0	0	0	0	0	0	234109	44595	0	0	0	0	
8500001	1.00	132479	424227	518398	37997	552214	1797	277990	225	136796	140963	0	0	0	0	0	0	232443	44471	0	0	0	0	
11000001	1.00	133501	421370	517952	38010	554375	1964	277324	212	138772	138930	0	0	0	0	0	0	232937	44653	0	0	0	0	
13500001	1.00	133313	421615	518447	38058	552631	1896	277547	212	138502	139176	0	0	0	0	0	0	234106	44497	0	0	0	0	
16000001	1.00	133327	422243	517894	38004	553341	1961	277847	234	139788	138811	0	0	0	0	0	0	232414	44136	0	0	0	0	
18500001	1.00	133532	422282	517506	38055	553766	1933	276963	234	138681	139309	0	0	0	0	0	0	233524	44215	0	0	0	0	
21000001	1.00	134160	422446	517239	37776	552972	1810	278381	222	137932	139441	0	0	0	0	0	0	233087	44534	0	0	0	0	
