#step	total	overlap	contact	SC-SC	stiff
0	-7807.2	-307.2	0.0	-7500.0	0.0
0	-7807.2	-307.2	0.0	-7500.0	0.0
2500000	-7591.6	-193.6	0.0	-7398.0	0.0
5000000	-7460.7	-206.7	0.0	-7254.0	0.0
7500000	-7555.6	-233.6	0.0	-7322.0	0.0
10000000	-7608.7	-242.7	0.0	-7366.0	0.0
12500000	-7568.7	-262.7	0.0	-7306.0	0.0
15000000	-7600.6	-242.6	0.0	-7358.0	0.0
17500000	-7517.0	-173.0	0.0	-7344.0	0.0
20000000	-7567.5	-243.5	0.0	-7324.0	0.0
22500000	-7534.3	-244.3	0.0	-7290.0	0.0
25000000	-7562.5	-250.5	0.0	-7312.0	0.0
27500000	-7663.7	-289.7	0.0	-7374.0	0.0
30000000	-7509.6	-183.6	0.0	-7326.0	0.0
32500000	-7639.2	-235.2	0.0	-7404.0	0.0
35000000	-7504.1	-236.1	0.0	-7268.0	0.0
37500000	-7667.5	-249.5	0.0	-7418.0	0.0
40000000	-7602.1	-246.1	0.0	-7356.0	0.0
42500000	-7574.6	-238.6	0.0	-7336.0	0.0
45000000	-7591.4	-219.4	0.0	-7372.0	0.0
47500000	-7584.7	-252.7	0.0	-7332.0	0.0
50000000	-7685.1	-249.1	0.0	-7436.0	0.0
52500000	-7592.6	-246.6	0.0	-7346.0	0.0
55000000	-7618.8	-236.8	0.0	-7382.0	0.0
57500000	-7646.7	-270.7	0.0	-7376.0	0.0
60000000	-7542.4	-258.4	0.0	-7284.0	0.0
62500000	-7531.2	-273.2	0.0	-7258.0	0.0
65000000	-7570.5	-256.5	0.0	-7314.0	0.0
67500000	-7661.9	-265.9	0.0	-7396.0	0.0
70000000	-7491.5	-209.5	0.0	-7282.0	0.0
72500000	-7516.5	-246.5	0.0	-7270.0	0.0
75000000	-7527.7	-203.7	0.0	-7324.0	0.0
77500000	-7503.0	-243.0	0.0	-7260.0	0.0
80000000	-7434.4	-188.4	0.0	-7246.0	0.0
82500000	-7621.3	-271.3	0.0	-7350.0	0.0
85000000	-7510.8	-238.8	0.0	-7272.0	0.0
87500000	-7520.5	-254.5	0.0	-7266.0	0.0
90000000	-7479.8	-245.8	0.0	-7234.0	0.0
92500000	-7489.8	-241.8	0.0	-7248.0	0.0
95000000	-7522.7	-220.7	0.0	-7302.0	0.0
97500000	-7549.6	-267.6	0.0	-7282.0	0.0
100000000	-7597.0	-269.0	0.0	-7328.0	0.0
102500000	-7521.7	-243.7	0.0	-7278.0	0.0
105000000	-7563.7	-257.7	0.0	-7306.0	0.0
107500000	-7502.2	-216.2	0.0	-7286.0	0.0
110000000	-7524.7	-286.7	0.0	-7238.0	0.0
112500000	-7473.2	-199.2	0.0	-7274.0	0.0
115000000	-7524.1	-218.1	0.0	-7306.0	0.0
117500000	-7557.7	-241.7	0.0	-7316.0	0.0
120000000	-7514.5	-270.5	0.0	-7244.0	0.0
122500000	-7529.5	-227.5	0.0	-7302.0	0.0
125000000	-7601.9	-265.9	0.0	-7336.0	0.0
127500000	-7561.9	-217.9	0.0	-7344.0	0.0
130000000	-7652.4	-280.4	0.0	-7372.0	0.0
132500000	-7545.7	-225.7	0.0	-7320.0	0.0
135000000	-7582.9	-266.9	0.0	-7316.0	0.0
137500000	-7571.0	-255.0	0.0	-7316.0	0.0
140000000	-7501.3	-235.3	0.0	-7266.0	0.0
142500000	-7611.0	-225.0	0.0	-7386.0	0.0
145000000	-7571.6	-251.6	0.0	-7320.0	0.0
147500000	-7579.1	-269.1	0.0	-7310.0	0.0
150000000	-7587.8	-287.8	0.0	-7300.0	0.0
152500000	-7484.7	-276.7	0.0	-7208.0	0.0
155000000	-7615.1	-275.1	0.0	-7340.0	0.0
157500000	-7495.4	-231.4	0.0	-7264.0	0.0
160000000	-7618.5	-266.5	0.0	-7352.0	0.0
162500000	-7587.6	-273.7	0.0	-7314.0	0.0
165000000	-7494.2	-234.2	0.0	-7260.0	0.0
167500000	-7520.7	-242.7	0.0	-7278.0	0.0
170000000	-7427.3	-237.3	0.0	-7190.0	0.0
172500000	-7587.3	-269.3	0.0	-7318.0	0.0
175000000	-7521.8	-291.8	0.0	-7230.0	0.0
177500000	-7581.7	-273.7	0.0	-7308.0	0.0
180000000	-7525.5	-221.5	0.0	-7304.0	0.0
182500000	-7497.0	-257.0	0.0	-7240.0	0.0
185000000	-7628.4	-258.4	0.0	-7370.0	0.0
187500000	-7527.8	-239.8	0.0	-7288.0	0.0
190000000	-7585.1	-279.1	0.0	-7306.0	0.0
192500000	-7474.2	-250.2	0.0	-7224.0	0.0
195000000	-7568.8	-256.8	0.0	-7312.0	0.0
197500000	-7525.3	-213.3	0.0	-7312.0	0.0
200000000	-7543.6	-257.6	0.0	-7286.0	0.0
