#step	total	overlap	contact	SC-SC	stiff
0	-8436.4	-342.4	0.0	-8094.0	0.0
0	-8436.4	-342.4	0.0	-8094.0	0.0
2500000	-8251.4	-315.4	0.0	-7936.0	0.0
5000000	-8321.4	-301.4	0.0	-8020.0	0.0
7500000	-8305.6	-331.6	0.0	-7974.0	0.0
10000000	-8178.1	-266.1	0.0	-7912.0	0.0
12500000	-8097.5	-251.5	0.0	-7846.0	0.0
15000000	-8170.5	-302.5	0.0	-7868.0	0.0
17500000	-8184.8	-272.8	0.0	-7912.0	0.0
20000000	-8118.9	-254.9	0.0	-7864.0	0.0
22500000	-8201.1	-285.1	0.0	-7916.0	0.0
25000000	-8145.3	-303.3	0.0	-7842.0	0.0
27500000	-8159.2	-289.2	0.0	-7870.0	0.0
30000000	-8178.1	-312.1	0.0	-7866.0	0.0
32500000	-8239.0	-313.0	0.0	-7926.0	0.0
35000000	-8102.4	-274.4	0.0	-7828.0	0.0
37500000	-8183.5	-287.5	0.0	-7896.0	0.0
40000000	-8153.4	-299.4	0.0	-7854.0	0.0
42500000	-8211.2	-307.2	0.0	-7904.0	0.0
45000000	-8165.5	-307.5	0.0	-7858.0	0.0
47500000	-8192.8	-288.8	0.0	-7904.0	0.0
50000000	-8111.0	-311.0	0.0	-7800.0	0.0
52500000	-8111.2	-277.2	0.0	-7834.0	0.0
55000000	-8190.1	-342.1	0.0	-7848.0	0.0
57500000	-8125.9	-295.9	0.0	-7830.0	0.0
60000000	-8186.3	-322.3	0.0	-7864.0	0.0
62500000	-8075.4	-227.4	0.0	-7848.0	0.0
65000000	-8152.3	-272.3	0.0	-7880.0	0.0
67500000	-8213.2	-285.2	0.0	-7928.0	0.0
70000000	-8169.2	-333.2	0.0	-7836.0	0.0
72500000	-8214.3	-316.3	0.0	-7898.0	0.0
75000000	-8205.6	-305.6	0.0	-7900.0	0.0
77500000	-8172.8	-304.8	0.0	-7868.0	0.0
80000000	-8211.8	-325.8	0.0	-7886.0	0.0
82500000	-8097.1	-311.1	0.0	-7786.0	0.0
85000000	-8069.8	-245.8	0.0	-7824.0	0.0
87500000	-8023.7	-265.7	0.0	-7758.0	0.0
90000000	-8168.4	-308.4	0.0	-7860.0	0.0
92500000	-8065.3	-273.3	0.0	-7792.0	0.0
95000000	-8146.8	-286.8	0.0	-7860.0	0.0
97500000	-8204.2	-334.2	0.0	-7870.0	0.0
100000000	-8154.7	-326.7	0.0	-7828.0	0.0
102500000	-8001.0	-269.0	0.0	-7732.0	0.0
105000000	-8117.6	-327.6	0.0	-7790.0	0.0
107500000	-8068.8	-312.8	0.0	-7756.0	0.0
110000000	-8212.0	-348.0	0.0	-7864.0	0.0
112500000	-8216.2	-362.2	0.0	-7854.0	0.0
115000000	-8161.8	-325.8	0.0	-7836.0	0.0
117500000	-8156.7	-310.7	0.0	-7846.0	0.0
120000000	-8192.7	-304.7	0.0	-7888.0	0.0
122500000	-8153.0	-293.0	0.0	-7860.0	0.0
125000000	-8216.8	-350.8	0.0	-7866.0	0.0
127500000	-8188.0	-310.0	0.0	-7878.0	0.0
130000000	-8096.2	-292.2	0.0	-7804.0	0.0
132500000	-8109.7	-309.7	0.0	-7800.0	0.0
135000000	-8240.0	-352.0	0.0	-7888.0	0.0
137500000	-8149.1	-313.1	0.0	-7836.0	0.0
140000000	-8086.8	-272.8	0.0	-7814.0	0.0
142500000	-8151.9	-339.9	0.0	-7812.0	0.0
145000000	-8187.5	-323.5	0.0	-7864.0	0.0
147500000	-8124.4	-260.4	0.0	-7864.0	0.0
150000000	-8157.8	-299.8	0.0	-7858.0	0.0
152500000	-8101.7	-285.7	0.0	-7816.0	0.0
155000000	-8138.7	-304.7	0.0	-7834.0	0.0
157500000	-8119.9	-321.9	0.0	-7798.0	0.0
160000000	-8080.8	-288.8	0.0	-7792.0	0.0
162500000	-8153.7	-327.7	0.0	-7826.0	0.0
165000000	-8127.9	-319.9	0.0	-7808.0	0.0
167500000	-8121.1	-331.1	0.0	-7790.0	0.0
170000000	-8155.5	-319.5	0.0	-7836.0	0.0
172500000	-8205.8	-349.8	0.0	-7856.0	0.0
175000000	-8071.2	-285.2	0.0	-7786.0	0.0
177500000	-8055.4	-289.4	0.0	-7766.0	0.0
180000000	-8064.7	-302.7	0.0	-7762.0	0.0
182500000	-8041.6	-329.6	0.0	-7712.0	0.0
185000000	-8014.9	-302.9	0.0	-7712.0	0.0
187500000	-7994.2	-310.2	0.0	-7684.0	0.0
190000000	-8025.0	-295.0	0.0	-7730.0	0.0
192500000	-8020.7	-290.7	0.0	-7730.0	0.0
195000000	-8016.0	-286.0	0.0	-7730.0	0.0
197500000	-8089.4	-317.4	0.0	-7772.0	0.0
200000000	-8092.8	-346.8	0.0	-7746.0	0.0
