#step	total	overlap	contact	SC-SC	stiff
0	-5654.0	210.0	0.0	-5864.0	0.0
0	-5648.3	209.7	0.0	-5858.0	0.0
2500000	-5382.6	271.4	0.0	-5654.0	0.0
5000000	-5463.4	268.6	0.0	-5732.0	0.0
7500000	-5565.9	270.1	0.0	-5836.0	0.0
10000000	-5563.3	260.7	0.0	-5824.0	0.0
12500000	-5586.3	255.7	0.0	-5842.0	0.0
15000000	-5655.3	228.7	0.0	-5884.0	0.0
17500000	-5542.1	257.9	0.0	-5800.0	0.0
20000000	-5404.4	285.6	0.0	-5690.0	0.0
22500000	-5561.7	212.3	0.0	-5774.0	0.0
25000000	-5467.1	244.9	0.0	-5712.0	0.0
27500000	-5520.1	263.9	0.0	-5784.0	0.0
30000000	-5489.9	272.1	0.0	-5762.0	0.0
32500000	-5482.3	249.7	0.0	-5732.0	0.0
35000000	-5522.8	237.2	0.0	-5760.0	0.0
37500000	-5476.0	248.0	0.0	-5724.0	0.0
40000000	-5383.6	280.4	0.0	-5664.0	0.0
42500000	-5602.1	241.9	0.0	-5844.0	0.0
45000000	-5662.2	219.8	0.0	-5882.0	0.0
47500000	-5416.4	279.6	0.0	-5696.0	0.0
50000000	-5632.9	273.1	0.0	-5906.0	0.0
52500000	-5479.4	276.6	0.0	-5756.0	0.0
55000000	-5514.9	267.1	0.0	-5782.0	0.0
57500000	-5466.8	239.2	0.0	-5706.0	0.0
60000000	-5562.2	271.8	0.0	-5834.0	0.0
62500000	-5489.4	230.6	0.0	-5720.0	0.0
65000000	-5580.8	249.2	0.0	-5830.0	0.0
67500000	-5547.4	244.6	0.0	-5792.0	0.0
70000000	-5487.2	260.8	0.0	-5748.0	0.0
72500000	-5553.9	236.1	0.0	-5790.0	0.0
75000000	-5575.9	252.1	0.0	-5828.0	0.0
77500000	-5483.0	279.0	0.0	-5762.0	0.0
80000000	-5491.1	292.9	0.0	-5784.0	0.0
82500000	-5608.3	257.7	0.0	-5866.0	0.0
85000000	-5416.9	271.1	0.0	-5688.0	0.0
87500000	-5514.6	233.4	0.0	-5748.0	0.0
90000000	-5429.1	304.9	0.0	-5734.0	0.0
92500000	-5501.7	270.3	0.0	-5772.0	0.0
95000000	-5543.0	283.0	0.0	-5826.0	0.0
97500000	-5561.6	226.4	0.0	-5788.0	0.0
100000000	-5396.1	267.9	0.0	-5664.0	0.0
102500000	-5569.4	236.6	0.0	-5806.0	0.0
105000000	-5506.4	231.6	0.0	-5738.0	0.0
107500000	-5606.8	233.2	0.0	-5840.0	0.0
110000000	-5544.4	251.6	0.0	-5796.0	0.0
112500000	-5451.3	264.7	0.0	-5716.0	0.0
115000000	-5641.9	236.1	0.0	-5878.0	0.0
117500000	-5512.2	255.8	0.0	-5768.0	0.0
120000000	-5657.6	234.4	0.0	-5892.0	0.0
122500000	-5513.0	261.0	0.0	-5774.0	0.0
125000000	-5408.3	293.7	0.0	-5702.0	0.0
127500000	-5423.7	272.3	0.0	-5696.0	0.0
130000000	-5486.7	275.3	0.0	-5762.0	0.0
132500000	-5619.0	205.0	0.0	-5824.0	0.0
135000000	-5593.9	258.1	0.0	-5852.0	0.0
137500000	-5617.1	224.9	0.0	-5842.0	0.0
140000000	-5502.2	243.8	0.0	-5746.0	0.0
142500000	-5519.9	254.1	0.0	-5774.0	0.0
145000000	-5526.5	265.5	0.0	-5792.0	0.0
147500000	-5475.7	256.3	0.0	-5732.0	0.0
150000000	-5500.3	241.7	0.0	-5742.0	0.0
152500000	-5604.4	223.6	0.0	-5828.0	0.0
155000000	-5381.1	290.9	0.0	-5672.0	0.0
157500000	-5414.2	277.8	0.0	-5692.0	0.0
160000000	-5495.7	268.3	0.0	-5764.0	0.0
162500000	-5557.9	246.1	0.0	-5804.0	0.0
165000000	-5494.0	260.0	0.0	-5754.0	0.0
167500000	-5419.3	272.7	0.0	-5692.0	0.0
170000000	-5348.0	304.0	0.0	-5652.0	0.0
172500000	-5479.6	270.4	0.0	-5750.0	0.0
175000000	-5586.8	217.2	0.0	-5804.0	0.0
177500000	-5528.1	249.9	0.0	-5778.0	0.0
180000000	-5570.5	245.5	0.0	-5816.0	0.0
182500000	-5591.2	234.8	0.0	-5826.0	0.0
185000000	-5477.7	228.3	0.0	-5706.0	0.0
187500000	-5567.5	238.5	0.0	-5806.0	0.0
190000000	-5542.0	252.0	0.0	-5794.0	0.0
192500000	-5528.2	253.8	0.0	-5782.0	0.0
195000000	-5514.9	265.1	0.0	-5780.0	0.0
197500000	-5528.4	233.6	0.0	-5762.0	0.0
200000000	-5576.3	239.7	0.0	-5816.0	0.0
