#step	total	overlap	contact	SC-SC	stiff
0	-6410.4	35.6	0.0	-6446.0	0.0
0	-6410.4	35.6	0.0	-6446.0	0.0
2500000	-6048.7	155.3	0.0	-6204.0	0.0
5000000	-5997.8	140.2	0.0	-6138.0	0.0
7500000	-6090.3	109.7	0.0	-6200.0	0.0
10000000	-5997.6	120.4	0.0	-6118.0	0.0
12500000	-6161.3	132.7	0.0	-6294.0	0.0
15000000	-6011.3	142.7	0.0	-6154.0	0.0
17500000	-5991.7	152.3	0.0	-6144.0	0.0
20000000	-5936.3	173.7	0.0	-6110.0	0.0
22500000	-6080.8	151.2	0.0	-6232.0	0.0
25000000	-5950.0	164.0	0.0	-6114.0	0.0
27500000	-5975.9	128.1	0.0	-6104.0	0.0
30000000	-5971.0	171.0	0.0	-6142.0	0.0
32500000	-5968.1	147.9	0.0	-6116.0	0.0
35000000	-6085.1	142.9	0.0	-6228.0	0.0
37500000	-6015.9	146.1	0.0	-6162.0	0.0
40000000	-6126.6	153.4	0.0	-6280.0	0.0
42500000	-6008.6	141.4	0.0	-6150.0	0.0
45000000	-5958.5	211.5	0.0	-6170.0	0.0
47500000	-6062.8	175.2	0.0	-6238.0	0.0
50000000	-6116.2	135.8	0.0	-6252.0	0.0
52500000	-6037.1	118.9	0.0	-6156.0	0.0
55000000	-6106.5	113.5	0.0	-6220.0	0.0
57500000	-6047.7	152.3	0.0	-6200.0	0.0
60000000	-5967.3	162.7	0.0	-6130.0	0.0
62500000	-6002.7	157.3	0.0	-6160.0	0.0
65000000	-5976.0	160.0	0.0	-6136.0	0.0
67500000	-6036.5	137.5	0.0	-6174.0	0.0
70000000	-6028.8	117.2	0.0	-6146.0	0.0
72500000	-6152.2	121.8	0.0	-6274.0	0.0
75000000	-5929.2	174.8	0.0	-6104.0	0.0
77500000	-6085.0	123.0	0.0	-6208.0	0.0
80000000	-6054.4	135.6	0.0	-6190.0	0.0
82500000	-6050.2	167.8	0.0	-6218.0	0.0
85000000	-5939.6	172.4	0.0	-6112.0	0.0
87500000	-6052.6	113.4	0.0	-6166.0	0.0
90000000	-6082.3	155.7	0.0	-6238.0	0.0
92500000	-6078.0	134.0	0.0	-6212.0	0.0
95000000	-6074.8	131.2	0.0	-6206.0	0.0
97500000	-6174.1	101.9	0.0	-6276.0	0.0
100000000	-6099.1	106.9	0.0	-6206.0	0.0
102500000	-6063.8	160.2	0.0	-6224.0	0.0
105000000	-5928.8	185.2	0.0	-6114.0	0.0
107500000	-6057.7	170.3	0.0	-6228.0	0.0
110000000	-6114.7	143.3	0.0	-6258.0	0.0
112500000	-6016.1	135.9	0.0	-6152.0	0.0
115000000	-6013.7	164.3	0.0	-6178.0	0.0
117500000	-6014.8	155.2	0.0	-6170.0	0.0
120000000	-5948.6	151.4	0.0	-6100.0	0.0
122500000	-6003.5	162.5	0.0	-6166.0	0.0
125000000	-6080.7	127.3	0.0	-6208.0	0.0
127500000	-6090.4	95.6	0.0	-6186.0	0.0
130000000	-6032.1	131.9	0.0	-6164.0	0.0
132500000	-6138.3	113.7	0.0	-6252.0	0.0
135000000	-5985.2	184.8	0.0	-6170.0	0.0
137500000	-5935.8	174.2	0.0	-6110.0	0.0
140000000	-6032.6	179.4	0.0	-6212.0	0.0
142500000	-5993.2	184.8	0.0	-6178.0	0.0
145000000	-6013.2	148.8	0.0	-6162.0	0.0
147500000	-6045.1	120.9	0.0	-6166.0	0.0
150000000	-6048.2	141.8	0.0	-6190.0	0.0
152500000	-5957.9	178.1	0.0	-6136.0	0.0
155000000	-6098.7	133.3	0.0	-6232.0	0.0
157500000	-5883.5	158.5	0.0	-6042.0	0.0
160000000	-6106.1	151.9	0.0	-6258.0	0.0
162500000	-5990.4	145.6	0.0	-6136.0	0.0
165000000	-6079.1	156.9	0.0	-6236.0	0.0
167500000	-5979.1	162.9	0.0	-6142.0	0.0
170000000	-6125.7	124.3	0.0	-6250.0	0.0
172500000	-6194.8	87.2	0.0	-6282.0	0.0
175000000	-5923.5	162.5	0.0	-6086.0	0.0
177500000	-5939.7	170.3	0.0	-6110.0	0.0
180000000	-6060.7	111.3	0.0	-6172.0	0.0
182500000	-6062.6	149.4	0.0	-6212.0	0.0
185000000	-5980.2	125.8	0.0	-6106.0	0.0
187500000	-6062.0	140.0	0.0	-6202.0	0.0
190000000	-5866.1	179.9	0.0	-6046.0	0.0
192500000	-5947.6	190.4	0.0	-6138.0	0.0
195000000	-6046.1	145.9	0.0	-6192.0	0.0
197500000	-6060.9	121.1	0.0	-6182.0	0.0
200000000	-6117.2	112.8	0.0	-6230.0	0.0
