#step	total	overlap	contact	SC-SC	stiff
0	-6754.9	-28.9	0.0	-6726.0	0.0
0	-6754.9	-28.9	0.0	-6726.0	0.0
2500000	-6334.9	75.1	0.0	-6410.0	0.0
5000000	-6299.7	68.3	0.0	-6368.0	0.0
7500000	-6379.0	73.0	0.0	-6452.0	0.0
10000000	-6518.7	61.3	0.0	-6580.0	0.0
12500000	-6412.9	59.1	0.0	-6472.0	0.0
15000000	-6389.9	68.1	0.0	-6458.0	0.0
17500000	-6365.5	92.5	0.0	-6458.0	0.0
20000000	-6344.4	105.6	0.0	-6450.0	0.0
22500000	-6273.0	105.0	0.0	-6378.0	0.0
25000000	-6349.4	78.6	0.0	-6428.0	0.0
27500000	-6418.1	51.9	0.0	-6470.0	0.0
30000000	-6358.6	79.4	0.0	-6438.0	0.0
32500000	-6356.6	83.4	0.0	-6440.0	0.0
35000000	-6481.3	82.7	0.0	-6564.0	0.0
37500000	-6326.0	92.0	0.0	-6418.0	0.0
40000000	-6368.4	85.6	0.0	-6454.0	0.0
42500000	-6370.7	85.3	0.0	-6456.0	0.0
45000000	-6393.6	72.4	0.0	-6466.0	0.0
47500000	-6404.4	47.6	0.0	-6452.0	0.0
50000000	-6336.1	67.9	0.0	-6404.0	0.0
52500000	-6440.7	69.3	0.0	-6510.0	0.0
55000000	-6483.7	38.3	0.0	-6522.0	0.0
57500000	-6367.1	86.9	0.0	-6454.0	0.0
60000000	-6433.8	70.2	0.0	-6504.0	0.0
62500000	-6362.6	85.4	0.0	-6448.0	0.0
65000000	-6437.9	64.1	0.0	-6502.0	0.0
67500000	-6373.2	84.8	0.0	-6458.0	0.0
70000000	-6274.8	99.2	0.0	-6374.0	0.0
72500000	-6367.4	28.6	0.0	-6396.0	0.0
75000000	-6379.1	56.9	0.0	-6436.0	0.0
77500000	-6332.2	75.8	0.0	-6408.0	0.0
80000000	-6330.0	96.0	0.0	-6426.0	0.0
82500000	-6256.4	127.6	0.0	-6384.0	0.0
85000000	-6344.4	51.6	0.0	-6396.0	0.0
87500000	-6281.5	90.5	0.0	-6372.0	0.0
90000000	-6267.1	102.9	0.0	-6370.0	0.0
92500000	-6412.6	55.4	0.0	-6468.0	0.0
95000000	-6407.1	82.9	0.0	-6490.0	0.0
97500000	-6364.4	61.6	0.0	-6426.0	0.0
100000000	-6298.6	81.4	0.0	-6380.0	0.0
102500000	-6341.5	72.5	0.0	-6414.0	0.0
105000000	-6427.9	64.1	0.0	-6492.0	0.0
107500000	-6474.2	61.8	0.0	-6536.0	0.0
110000000	-6327.0	61.0	0.0	-6388.0	0.0
112500000	-6513.7	42.3	0.0	-6556.0	0.0
115000000	-6283.8	84.2	0.0	-6368.0	0.0
117500000	-6359.5	68.5	0.0	-6428.0	0.0
120000000	-6367.9	82.1	0.0	-6450.0	0.0
122500000	-6294.9	81.1	0.0	-6376.0	0.0
125000000	-6405.1	60.9	0.0	-6466.0	0.0
127500000	-6349.0	71.0	0.0	-6420.0	0.0
130000000	-6388.9	49.1	0.0	-6438.0	0.0
132500000	-6412.0	48.0	0.0	-6460.0	0.0
135000000	-6448.0	76.0	0.0	-6524.0	0.0
137500000	-6369.9	90.1	0.0	-6460.0	0.0
140000000	-6413.0	73.0	0.0	-6486.0	0.0
142500000	-6325.3	94.7	0.0	-6420.0	0.0
145000000	-6368.0	80.0	0.0	-6448.0	0.0
147500000	-6348.1	59.9	0.0	-6408.0	0.0
150000000	-6444.8	61.2	0.0	-6506.0	0.0
152500000	-6358.4	87.6	0.0	-6446.0	0.0
155000000	-6264.9	87.1	0.0	-6352.0	0.0
157500000	-6319.2	98.8	0.0	-6418.0	0.0
160000000	-6417.2	78.8	0.0	-6496.0	0.0
162500000	-6243.7	84.3	0.0	-6328.0	0.0
165000000	-6450.6	45.4	0.0	-6496.0	0.0
167500000	-6409.4	52.6	0.0	-6462.0	0.0
170000000	-6364.6	93.4	0.0	-6458.0	0.0
172500000	-6241.0	89.0	0.0	-6330.0	0.0
175000000	-6366.0	84.0	0.0	-6450.0	0.0
177500000	-6473.3	26.7	0.0	-6500.0	0.0
180000000	-6465.9	62.1	0.0	-6528.0	0.0
182500000	-6367.9	66.1	0.0	-6434.0	0.0
185000000	-6276.1	95.9	0.0	-6372.0	0.0
187500000	-6437.0	67.0	0.0	-6504.0	0.0
190000000	-6429.9	62.1	0.0	-6492.0	0.0
192500000	-6346.3	73.7	0.0	-6420.0	0.0
195000000	-6343.5	56.5	0.0	-6400.0	0.0
197500000	-6420.1	81.9	0.0	-6502.0	0.0
200000000	-6410.4	35.6	0.0	-6446.0	0.0
