#Steps ,and Temp, are followed by (rej, acc) for each MC Move.
#(nStep, T) TRANS CLSTER SM_CLSTER FACE LOCAL DBPVT PIVOT BR_ROT
0	1.25	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2500000	1.25	80946	417915	452407	46695	496758	1766	248562	465	107948	142342	97737	1843	6473	43524	278	4746	188908	60734	0	0	99695	258	
5000000	1.25	79953	418892	452107	47151	496459	1755	249477	428	107865	142144	97387	2352	6124	43869	329	4644	187910	61195	0	0	99756	203	
7500000	1.25	78812	418972	451594	47869	496672	1770	248457	470	108266	142453	96908	2982	6465	43952	309	4764	187839	61738	0	0	99446	262	
10000000	1.25	79283	420011	451281	47206	497431	1742	249460	456	107680	141825	96765	2795	6452	43562	306	4659	187790	61878	0	0	99234	184	
12500000	1.25	79189	419865	451577	47302	497495	1735	248564	477	106491	142548	96636	3100	5886	44419	321	4764	187735	61969	0	0	99738	189	
15000000	1.25	79735	418770	452651	47156	497470	1729	249109	467	107373	141913	97416	2311	5896	44200	324	4585	187377	61592	0	0	99695	231	
17500000	1.25	80074	419739	451902	46694	497210	1802	248493	450	108078	141120	97049	2634	6560	43592	349	4692	187964	61569	0	0	99788	241	
20000000	1.25	79505	418787	451081	47170	498116	1816	248720	471	108121	141713	97018	2786	6376	43381	317	4521	188040	61897	0	0	99935	229	
22500000	1.25	79621	420498	450371	47116	497129	1758	249393	480	107729	142070	96538	2981	5826	44101	312	4658	187823	61655	0	0	99733	208	
25000000	1.25	79313	420206	451037	47922	497562	1759	248411	467	106699	142118	96222	3347	6054	44144	340	4757	187789	62016	0	0	99594	243	
27500000	1.25	77870	420720	451930	47231	496893	1678	249603	469	107723	142042	96305	3405	7682	42157	367	4522	187873	61995	0	0	99215	318	
30000000	1.25	79011	419827	452215	47616	497119	1723	249416	493	107424	142315	96527	3250	6935	42690	303	4659	187028	62105	0	0	99109	235	
32500000	1.25	78764	419761	452154	47417	497217	1716	249110	488	107109	142282	96894	3271	5926	43633	401	4515	187659	62009	0	0	99435	239	
35000000	1.25	79561	419077	451023	47858	497169	1816	248957	457	107136	142969	96382	3208	5648	44136	312	4730	187600	61641	0	0	100137	183	
37500000	1.25	79344	420265	451484	47449	497450	1723	248191	467	106086	143084	96946	2893	6529	43475	262	4767	187826	61958	0	0	99616	185	
40000000	1.25	79614	419667	450485	47492	497763	1761	249179	477	107468	141827	96381	3185	6499	43147	314	4770	188400	62146	0	0	99194	231	
42500000	1.25	79131	420041	450634	47011	497461	1756	249069	456	108215	141342	97140	2429	7443	42548	316	4536	188638	61823	0	0	99789	222	
45000000	1.25	80241	418878	452380	46734	496877	1732	249179	432	107856	141752	96958	2739	5987	43864	832	4099	188497	61372	0	0	99332	259	
47500000	1.25	79343	419629	451111	47926	497746	1717	248790	471	108097	141837	96410	3172	6625	43657	330	4796	187301	61662	0	0	99145	235	
50000000	1.25	79505	419029	451397	47369	497338	1719	249804	437	107689	141023	96104	3285	6762	42931	286	4719	188437	62184	0	0	99717	265	
52500000	1.25	78647	419298	452138	47262	497554	1721	249379	450	106966	141996	97166	2943	5883	44036	333	4753	187444	61425	0	0	100366	240	
55000000	1.25	80461	418663	451836	46754	496929	1812	249135	441	108248	141365	96973	2581	7366	42745	576	4400	187770	61647	0	0	100003	295	
57500000	1.25	79545	419368	452359	47456	497774	1818	249261	425	107430	141452	96819	2974	7054	42662	323	4645	187820	61441	0	0	99145	229	
60000000	1.25	79089	418736	452330	47140	496096	1791	249532	481	107034	142089	97402	2987	5832	44218	314	4727	187665	62780	0	0	99552	205	
62500000	1.25	79949	420268	452037	47609	495821	1754	248032	486	108563	141266	96695	3267	7077	42880	346	4611	187984	61502	0	0	99562	291	
65000000	1.25	79840	418445	452364	47007	498165	1754	249098	458	107948	141192	97246	2810	6916	43140	371	4569	187945	61535	0	0	98942	255	
67500000	1.25	79205	419093	452000	47421	495983	1790	249015	478	107588	142281	96658	3113	6521	43435	326	4803	188235	61902	0	0	99926	227	
70000000	1.25	79018	419936	451432	47707	497645	1685	248235	444	108045	141453	97224	3000	6593	43667	307	4618	187631	61891	0	0	99215	254	
72500000	1.25	80311	419008	451423	47259	497157	1858	249731	473	107213	142215	97203	2212	7174	42554	503	4401	188010	61511	0	0	99542	242	
75000000	1.25	79748	419300	451658	47892	497108	1776	248345	512	107874	142094	97316	2812	7618	42042	405	4639	187737	61265	0	0	99542	317	
77500000	1.25	79028	419853	450920	47598	498201	1743	249235	493	107435	141268	96394	3475	6491	43668	297	4673	187421	61804	0	0	99723	279	
80000000	1.25	78812	419861	452123	47607	496192	1811	249749	455	106249	142786	96647	3326	5589	44550	297	4658	187130	62035	0	0	99921	202	
82500000	1.25	79055	419933	451725	47427	498093	1766	248658	484	106983	142264	96917	3122	5576	44172	301	4643	187311	61850	0	0	99535	185	
85000000	1.25	79814	419537	450865	47052	497502	1743	249806	456	107442	142431	97891	2657	5722	44048	271	4656	187407	61200	0	0	99261	239	
87500000	1.25	79254	420791	451508	47248	496634	1802	247954	434	107213	142014	97320	2928	6088	44194	259	4756	187422	61901	0	0	100071	209	
90000000	1.25	79754	420272	452418	47038	497103	1815	248484	477	107241	142270	95996	3284	6142	43595	290	4734	187196	61685	0	0	99954	252	
92500000	1.25	78912	419465	453424	47763	496925	1784	248166	500	107105	141707	95938	3449	5945	44348	372	4605	187785	61647	0	0	99952	208	
95000000	1.25	79680	420492	451230	47812	495834	1815	249211	455	107823	141621	97098	3005	7416	42647	323	4575	188077	61273	0	0	99340	273	
97500000	1.25	79410	419270	451394	47460	497643	1788	249038	479	107808	141485	96418	3579	7007	42991	308	4690	186867	61960	0	0	100196	209	
100000000	1.25	79780	419508	451560	47180	497204	1718	249682	438	107035	142647	96959	2740	6263	43787	367	4723	187320	61532	0	0	99332	225	
102500000	1.25	79844	418885	451761	46800	496936	1792	249555	461	108319	141685	97494	2331	6396	43463	378	4598	188443	61226	0	0	99437	195	
105000000	1.25	78807	420468	452316	47833	497487	1769	248180	457	107285	141326	97080	2937	6354	43346	365	4606	187714	61615	0	0	99842	213	
107500000	1.25	79981	420054	451145	47416	496746	1719	248955	471	107344	141951	97275	2789	7242	42468	329	4756	188302	60942	0	0	99892	223	
110000000	1.25	79551	419298	452646	47308	496202	1751	248517	443	108113	141886	96621	2661	6730	43279	273	4618	189188	61541	0	0	99119	255	
112500000	1.25	78872	420460	451563	47454	497093	1804	249350	476	107287	142041	96531	3499	5712	44207	339	4782	186979	61637	0	0	99665	249	
115000000	1.25	79683	419768	451468	46755	498480	1767	249460	429	107681	141429	96787	2939	7361	42454	361	4600	188123	60810	0	0	99418	227	
117500000	1.25	80177	420354	452553	47139	496990	1785	248572	457	107507	141123	97551	2602	7444	42216	313	4704	187656	61413	0	0	99178	266	
120000000	1.25	79627	419257	451428	47471	498176	1669	249437	477	107719	141406	96016	3481	8209	41692	474	4477	186767	62317	0	0	99657	243	
122500000	1.25	79291	419901	452139	47169	496527	1779	249820	454	107185	141411	96344	3429	7107	42901	344	4635	188347	61798	0	0	99161	258	
125000000	1.25	78705	421078	452305	47529	497383	1754	248069	489	107747	141321	96722	3159	7304	41997	358	4564	187422	62035	0	0	99826	233	
